,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
0,2022-09-14 23:51:51+00:00,https://twitter.com/OzCastillo/status/1570198676273827841,OzCastillo,Twitter for iPad,🔥Hot Land😏,5 hours ⏳⌛️🤓🤩… 🔜 #TheMerge 🚀🤑 #Flippening #ETHMerge #EthereumMerge 🌠 #14Sep #15Sep #Ethereum #ETH $ETH 💹 #Invest #Investing #Bullish🐃🐂💨#CriptoTwitter #CryptoTwitter #Crypto #Cripto #Cryptos #Criptos #Trading #Criptomoneda #Criptomonedas💎,2,1,0,1
1,2022-09-14 23:50:48+00:00,https://twitter.com/_concreteclouds/status/1570198411282096131,_concreteclouds,Twitter for iPhone,An Eye Roll Into Brain,"A N N O U N C E M E N T: 

BULLISH BIONIC BEAST 

WE MERGE.

Into a BULLISH BIONIC BEAST... to swag into the BULL MERGE BOOM.

1 of 11 • Now Available for Ξ 0.002

https://t.co/o4adEwF4jD

@KnownOrigin_io

Art by @_concreteclouds

#cryptoart #NFT #cryptoartist #ETH
#TheMerge https://t.co/VFizpZ6e6w",19,13,0,2
2,2022-09-14 23:50:29+00:00,https://twitter.com/profit8lue/status/1570198328918577152,profit8lue,Twitter Web App,NO TELEGRAM / NO DISCORD,"We can't ignore the new merge update as well.
I don't believe it will be as bullish as some of you are expecting short term.  #Eth",285,4,0,21
3,2022-09-14 23:46:51+00:00,https://twitter.com/OzCastillo/status/1570197416363839490,OzCastillo,Twitter for iPad,🔥Hot Land😏,"Aproximadamente faltan 5 horas para la activación de #TheMerge🚀🤑#CMCETHMerge #ETHMerge #EthereumMerge🌠

#14Sep #15Sep #Ethereum #ETH $ETH 💹 #Invest #Investing #Bullish🐃🐂💨#CriptoTwitter #CryptoTwitter #Crypto #Cripto #Cryptos #Criptos #Trading #Criptomoneda #Criptomonedas💎",2,1,0,0
4,2022-09-14 23:17:43+00:00,https://twitter.com/M3RG383/status/1570190083395059713,M3RG383,Twitter for iPhone,OverHere,@Control2XY @kyleh39 Are you implying we’re going to experience an #eth crash? 😂 😎,0,0,0,0
5,2022-09-14 23:07:20+00:00,https://twitter.com/QuandoCrypto/status/1570187470158893061,QuandoCrypto,Twitter for iPhone,Flat earth,I’m VERY bearish for the #ETH merge .. but long term I’m BULLISH ASF! If you get what I’m saying,0,0,0,0
6,2022-09-14 23:00:11+00:00,https://twitter.com/RetrospectApps/status/1570185673117679616,RetrospectApps,Retrospect Tweets,Crypto Space,"⧫ HOURLY #ETH UPDATE ⧫

🪙1638.67$ | 3.22%
🕖-score 0.018662659282274063
📈Market View: 18.78 😀
📆24h: Somewhat Bearish 🐻

Follow for more! More info in bio 🔗 

#Analysis #Ethereum #Predictions #App #Tool",1,0,0,0
7,2022-09-14 22:29:06+00:00,https://twitter.com/GollumsGems/status/1570177850539646978,GollumsGems,Twitter for Android,,"Has the @ethereum upgrade made you more bullish on #Ethereum ?

Let us know your thoughts below.

#Crypto #cryptocurrecy #ETH #ETHMerge #Vitalik",92,71,2,84
8,2022-09-14 22:01:26+00:00,https://twitter.com/youngblue313/status/1570170886229217280,youngblue313,Twitter for iPhone,The moon ,Bullish on the #eth merge,0,0,0,0
9,2022-09-14 22:00:07+00:00,https://twitter.com/RetrospectApps/status/1570170554254258176,RetrospectApps,Retrospect Tweets,Crypto Space,"⧫ HOURLY #ETH UPDATE ⧫

🪙1617.95$ | 1.7%
🕖-score 3.5856252927400476
📈Market View: 17.5 😀
📆24h: Somewhat Bearish 🐻

Follow for more! More info in bio 🔗 

#Analysis #Ethereum #Predictions #App #Tool",0,0,0,0
10,2022-09-14 21:52:13+00:00,https://twitter.com/cyberspace2140/status/1570168566342639617,cyberspace2140,Twitter for Android,BlockchainCity,#ETH #Ethereum  4H 10MA &amp; 100MA is resistance to keep an eye on for directional bias. Ie 4H close above = bullish.  4H Close below = bearish. NFA DYOR #Trading #Trade #ETHMerge #ethmerger https://t.co/9P8LNS5Q5d,0,0,0,1
11,2022-09-14 21:46:15+00:00,https://twitter.com/Malik_Israar/status/1570167064307933184,Malik_Israar,Twitter for iPhone,"Lahore, Pakistan ",#ETH is looking Bullish!,1,0,0,0
12,2022-09-14 21:46:13+00:00,https://twitter.com/minazim_8070/status/1570167057752244227,minazim_8070,Twitter Web App,,@JRNYcrypto I am bullish either way! People are looking very short term at #ETH again...,2,0,0,1
13,2022-09-14 21:45:56+00:00,https://twitter.com/Israr_Ahmad___/status/1570166987468201984,Israr_Ahmad___,Twitter for iPhone,"Lahore, Pakistan",#ETH is looking Bullish!,2,0,0,0
14,2022-09-14 21:40:50+00:00,https://twitter.com/jukucurt123/status/1570165703218712576,jukucurt123,Twitter Web App,,@Cointelegraph @ghcryptoguy @gazza_jenks I am very excited for this event! What do you think will #ETH explode after the merge?,1,0,0,0
15,2022-09-14 21:30:46+00:00,https://twitter.com/SnoopMinerETH/status/1570163171490422786,SnoopMinerETH,Twitter for iPhone,,@APompliano Absolutely.  The founders of #METAMINER always getting things done.  CG/CMC and we aren’t done yet!  #metaverse incoming where our #NFTs will mine #ETH.  #rewards for holders are plentiful in the dapp staking angle farming.  #bullish https://t.co/jQylomdwrY,6,6,0,4
16,2022-09-14 21:23:19+00:00,https://twitter.com/JulyE_21/status/1570161294908723200,JulyE_21,Twitter for iPhone,,"#ETH bullish 

“The Ethereum Merge Is Set to Take Place This Week. What Investors Should Know About It | NextAdvisor with TIME” https://t.co/jSaB3fE6Co",1,0,0,1
17,2022-09-14 21:18:20+00:00,https://twitter.com/klouds33/status/1570160040413392896,klouds33,Twitter for iPhone,"New Jersey, USA","ETH merge got you feeling bullish or bearish? 

#Web3 #Ethereum #NFTCommunity #ETH",4,1,0,2
