,Unnamed: 0,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count,compoundVader,compoundTextBlob
0,641,2022-09-09 08:32:18+00:00,https://twitter.com/dubaibornapes/status/1568155323134869507,dubaibornapes,Twitter Web App,Dubai,"HAPPY FRIDAY FAM 🌴☀️🐪

Look for the change in the picture 👀🫣

Friday is always the best, enjoy your day! 🎉

STAY ACTIVE, STAY BULLISH. WE ARE ON THE WAY 🚀
Glad to have you ❤️

#NFTcommunity #NFT #NFTs #ETH #Ethereum #web3 #NFTart #BAYC #DubaiBornApes #Dubai ",19,6,1,6,0.9693,"Sentiment(polarity=0.5333333333333333, subjectivity=0.6799999999999999)"
1,443,2022-09-11 13:16:07+00:00,https://twitter.com/percivalharmony/status/1568951524956712978,percivalharmony,Twitter for Android,"Volantis, Kargion","     launching late September. This could explode. #eth #Oil #oneverse also  mint on polygon on 24 of September. This is going to be a great month, 😎😎😎👌! $One #harmonyone",5,0,0,1,0.9614,"Sentiment(polarity=0.35, subjectivity=0.675)"
2,269,2022-09-13 02:09:59+00:00,https://twitter.com/MFDeFi/status/1569508661067669505,MFDeFi,Twitter for iPhone,Metaverse,"I love the positive energy! The NFL season just started, the charts are green, people in #DeFi and #NFTs are excited for the #ETHMerge and are bullish on #ETH 

Speaking of bullish I’m also super bullish on  and how you can mint 1 of 5000 businesses wrapped as  NFTs ",3,1,1,1,0.9476,"Sentiment(polarity=0.25848484848484843, subjectivity=0.5724242424242424)"
3,659,2022-09-09 01:54:58+00:00,https://twitter.com/tsbmfg/status/1568055332450062336,tsbmfg,Twitter for Android,United Kingdom,"1/3.. I bought a bag of  on #ETH. inspired by the great Hex coin and our beloved doge!
just launched in less than 5 hours. MC is currently at 140k 

Maythous already called it, the community is hyped and bullish about it, and the dev is Giga rich. #HEXDOGE ",13,6,1,3,0.9432,"Sentiment(polarity=0.37666666666666665, subjectivity=0.5933333333333334)"
4,303,2022-09-12 19:26:51+00:00,https://twitter.com/Disco_Vet/status/1569407208709914625,Disco_Vet,Twitter for iPhone,Where you are not,"Absolute mega lolz at using  to buy #eth.
Buying was very simple. Fees were high but expected, 
The fun came when I tried to love to a wallet. It seems that’s not a thing in the UK. No idea why. 

Like, are you just a shit coinbase? 

Remember when this was bullish?? Ha ha",0,0,0,2,0.9422,"Sentiment(polarity=0.12285714285714287, subjectivity=0.5577551020408164)"
5,450,2022-09-11 11:05:38+00:00,https://twitter.com/steko170981/status/1568918686043357184,steko170981,Twitter for Android,,"Bullish perspective for #eth dear #Crypto Nation 

Great chart by  😎👌",9,1,0,1,0.9416,"Sentiment(polarity=0.8, subjectivity=0.75)"
6,379,2022-09-12 03:33:40+00:00,https://twitter.com/vuo369/status/1569167332064337921,vuo369,Twitter Web App,,"Do you think #ETHMerge will trigger the start of a new bull run in the next few weeks? but not only in #ETH but in the entire crypto market, I'm really bullish, but because everything is in the macro I would wait for 21 and I would like to see strength in the stock market,so.. xd",0,0,0,1,0.9294,"Sentiment(polarity=0.022727272727272724, subjectivity=0.39659090909090916)"
7,70,2022-09-14 15:30:25+00:00,https://twitter.com/Slim_Vezzy/status/1570072484627582978,Slim_Vezzy,Twitter for Android,Memphis Tennessee ,"Power In Your Plans...

#VezzyWorld 👽🖖🏿💯 #work #business #budget #plan #objective #goals #stocks #crypto #mindset #investing #strategy #justdoit #rich #motivation #money #silver #eth #etf #bonds #stockmarket #crash  #success #rewards #practice #progress",1,0,0,1,0.9169,"Sentiment(polarity=0.225, subjectivity=0.2833333333333333)"
8,174,2022-09-13 18:13:59+00:00,https://twitter.com/Autonomous0x/status/1569751257736265731,Autonomous0x,Twitter for Mac,The Arena,"#ETH LOOKING GOOD 

1) HOLDING MAJOR VOLUME SHELF AND SUPPOZONE - DESPITE THE HOTTER INFLATION REPO2) MARKET IS WAITING FOR THE MERGE TO ESTABLISH NEXT MOVE - CAN SHRUG OFF CPI

3) SUCCESSFUL MERGE = POP AT APEX OF THE TRIANGLE

MERGE IS INHERENTLY DEFLATIONARY = BULLISH ",1,0,0,0,0.9118,"Sentiment(polarity=0.378125, subjectivity=0.5125)"
9,430,2022-09-11 15:41:00+00:00,https://twitter.com/WonderTwinzTeez/status/1568987986112532480,WonderTwinzTeez,Twitter for iPhone,"Midwest, USA"," Mint or buy two of a great project with a proven sustainable FP, #HODL one, list one for profit. Spread the remaining #ETH converted to other Blockchains &amp; make sure whether a bullish or bearish market, we’ve got a foot on the right pedals. Invest &amp; Take profits where applicable",0,0,0,0,0.9042,"Sentiment(polarity=0.36517857142857146, subjectivity=0.6374007936507936)"
