,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count,compoundVader,compoundTextBlob
0,2023-02-28 23:58:16+00:00,https://twitter.com/Youssef3031/status/1630719064757751809,Youssef3031,Twitter Web App,,"#CrypToCurRency 
#Bitcoin  
#btC 
From last update:
Best low: 22.7k
High: 23.8k
Last: 23.1k
Next:
Bearish: 22-
Bullish: 24+",0,0,1,0,0.4767,"Sentiment(polarity=0.19333333333333333, subjectivity=0.2122222222222222)"
1,2023-02-28 23:57:37+00:00,https://twitter.com/OwensAssetFund/status/1630718899523026944,OwensAssetFund,Twitter for iPhone,"Downtown, Houston","Trade thru 4010.50 Change in trend will confirm, we remain bearish. $ES_F $SPY $SPX #stocks #stockmarket #investing #trading #money #forex #investment #finance #invest #bitcoin #business #investor #entrepreneur #cryptocurrency #trader #financialfreedom #crypto #wallstreet #wealth https://t.co/DqWURi3UDo",4,1,0,4,0.4939,"Sentiment(polarity=0.0, subjectivity=0.0)"
2,2023-02-28 23:57:13+00:00,https://twitter.com/AstroCryptoGuru/status/1630718796418945025,AstroCryptoGuru,Twitter Web App,astrocryptoreport@gmail.com,"@SatoshiFlipper Fair 
#BTC price structure is still bullish for now BUT technicals are flashing severe Bear Divs, which gives confluence to Bearish Astro TA factors 

21300 and 200 Day MA 19700 are likely levels that get hit in a sell off, below can happen but less likely https://t.co/Qe1hgu4yPU",6,0,0,2,-0.4118,"Sentiment(polarity=0.13333333333333333, subjectivity=0.7416666666666667)"
3,2023-02-28 23:55:21+00:00,https://twitter.com/ethereumintel/status/1630718330548936704,ethereumintel,Twitter for iPhone,"Jupiter Island, FL",➟ Initiatives like this make the ecosystem stronger because the projects enjoy buybacks as well as the supply of the $SRG token continuously reduces which is bullish for @SURGEPROTOCOL! #BNB #ETH #DeFi #SRG $SRG #SURGE,3,0,0,1,0.8655,"Sentiment(polarity=0.5, subjectivity=0.5)"
4,2023-02-28 23:54:35+00:00,https://twitter.com/BaileyTradez/status/1630718137309048832,BaileyTradez,Twitter for Android,"Lincoln Park, Chicago",#Bullish https://t.co/5btP1J5OfU,4,1,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)"
5,2023-02-28 23:53:03+00:00,https://twitter.com/nesho_neshev/status/1630717749218377728,nesho_neshev,Twitter for iPhone,Bulgaria,"I think this should be Evening star . If so , this is bearish candle pattern  . #BTC CME https://t.co/PARaxYe2jN",2,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)"
6,2023-02-28 23:52:19+00:00,https://twitter.com/AbhipraGroup/status/1630717566938398721,AbhipraGroup,Abhipra Market Updates,"Delhi, India","#OptionChain - #TATASTEEL
#Stock #Bearish
#PCR :0.55
Max #CA buildup at 110,windup at 130 #PE buildup at 95 windup at 111
High #OI CA at 120,110,115 PE at 105,110,100
Open account at https://t.co/giz54B9qdU and start #investing in #StockMarket https://t.co/qEcJVar68N",0,0,0,0,0.0,"Sentiment(polarity=0.08, subjectivity=0.52)"
7,2023-02-28 23:52:00+00:00,https://twitter.com/CernunnosCap/status/1630717484344176641,CernunnosCap,Twitter for iPhone,,@markets #Bullish,0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)"
8,2023-02-28 23:51:51+00:00,https://twitter.com/s_michaelsteele/status/1630717447417257984,s_michaelsteele,Twitter for iPhone,"Cleveland, GA","So many calls for #Bitcoin to come crashing back down after “failed rally”…sounds like so many people  lacked exposure and regret not buying in lower. Max pain is higher levels. I don’t want #Bitcoin to go higher, even though I bought all throughout the bear, it’s not enough 😓 https://t.co/LSRz0vjG05",11,1,0,0,-0.0207,"Sentiment(polarity=0.10555555555555556, subjectivity=0.3861111111111111)"
9,2023-02-28 23:49:08+00:00,https://twitter.com/kannon0340/status/1630716763062018049,kannon0340,Twitter for Android,🇻🇪🇻🇪🇻🇪🇻🇪,"@CrypttoManiac_ El mío así. @PancakeSwap , @ExpanseOfficial  @CardanoFeed  y por supuesto #Bitcoin .. pero la idea, subir el %  en #BTC y seguir apoyando los otros proyectos https://t.co/mpAuLD681D",1,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)"
