,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count,compoundVader,compoundTextBlob,Tweet_NLTK,Sentiment
0,2022-09-09 08:32:18+00:00,https://twitter.com/dubaibornapes/status/1568155323134869507,dubaibornapes,Twitter Web App,Dubai,"HAPPY FRIDAY FAM 🌴☀️🐪

Look for the change in the picture 👀🫣

Friday is always the best, enjoy your day! 🎉

STAY ACTIVE, STAY BULLISH. WE ARE ON THE WAY 🚀
Glad to have you ❤️

NFTcommunity NFT NFTs ETH Ethereum web3 NFTart BAYC DubaiBornApes Dubai ",19,6,1,6,0.9693,"Sentiment(polarity=0.5333333333333333, subjectivity=0.6799999999999999)",happi friday fam 🌴☀️🐪 look chang pictur 👀🫣 friday alway best enjoy day 🎉 stay activ stay bullish way 🚀 glad ❤️ nftcommun nft nfts eth ethereum web3 nftart bayc dubaibornap dubai,positive
1,2022-09-11 13:16:07+00:00,https://twitter.com/percivalharmony/status/1568951524956712978,percivalharmony,Twitter for Android,"Volantis, Kargion","     launching late September. This could explode. eth Oil oneverse also  mint on polygon on 24 of September. This is going to be a great month, 😎😎😎👌! $One harmonyone",5,0,0,1,0.9614,"Sentiment(polarity=0.35, subjectivity=0.675)",launch late septemb could explod eth oil onevers also mint polygon 24 septemb go great month 😎😎😎👌 one harmonyon,positive
2,2022-09-13 02:09:59+00:00,https://twitter.com/MFDeFi/status/1569508661067669505,MFDeFi,Twitter for iPhone,Metaverse,"I love the positive energy! The NFL season just started, the charts are green, people in DeFi and NFTs are excited for the ETHMerge and are bullish on ETH 

Speaking of bullish I’m also super bullish on  and how you can mint 1 of 5000 businesses wrapped as  NFTs ",3,1,1,1,0.9476,"Sentiment(polarity=0.25848484848484843, subjectivity=0.5724242424242424)",love posit energi nfl season start chart green peopl defi nfts excit ethmerg bullish eth speak bullish ’ also super bullish mint 1 5000 busi wrap nfts,positive
3,2022-09-09 01:54:58+00:00,https://twitter.com/tsbmfg/status/1568055332450062336,tsbmfg,Twitter for Android,United Kingdom,"1/3.. I bought a bag of  on ETH. inspired by the great Hex coin and our beloved doge!
just launched in less than 5 hours. MC is currently at 140k 

Maythous already called it, the community is hyped and bullish about it, and the dev is Giga rich. HEXDOGE ",13,6,1,3,0.9432,"Sentiment(polarity=0.37666666666666665, subjectivity=0.5933333333333334)",1/3 .. bought bag eth inspir great hex coin belov doge launch less 5 hour mc current 140k maythous alreadi call communiti hype bullish dev giga rich hexdog,positive
4,2022-09-12 19:26:51+00:00,https://twitter.com/Disco_Vet/status/1569407208709914625,Disco_Vet,Twitter for iPhone,Where you are not,"Absolute mega lolz at using  to buy eth.
Buying was very simple. Fees were high but expected, 
The fun came when I tried to love to a wallet. It seems that’s not a thing in the UK. No idea why. 

Like, are you just a shit coinbase? 

Remember when this was bullish?? Ha ha",0,0,0,2,0.9422,"Sentiment(polarity=0.12285714285714287, subjectivity=0.5577551020408164)",absolut mega lolz use buy eth buy simpl fee high expect fun came tri love wallet seem ’ thing uk idea like shit coinbas rememb bullish ha ha,positive
5,2022-09-11 11:05:38+00:00,https://twitter.com/steko170981/status/1568918686043357184,steko170981,Twitter for Android,,"Bullish perspective for eth dear Crypto Nation 

Great chart by  😎👌",9,1,0,1,0.9416,"Sentiment(polarity=0.8, subjectivity=0.75)",bullish perspect eth dear crypto nation great chart 😎👌,positive
6,2022-09-12 03:33:40+00:00,https://twitter.com/vuo369/status/1569167332064337921,vuo369,Twitter Web App,,"Do you think ETHMerge will trigger the start of a new bull run in the next few weeks? but not only in ETH but in the entire crypto market, I'm really bullish, but because everything is in the macro I would wait for 21 and I would like to see strength in the stock market,so.. xd",0,0,0,1,0.9294,"Sentiment(polarity=0.022727272727272724, subjectivity=0.39659090909090916)",think ethmerg trigger start new bull run next week eth entir crypto market 'm realli bullish everyth macro would wait 21 would like see strength stock market .. xd,positive
7,2022-09-14 15:30:25+00:00,https://twitter.com/Slim_Vezzy/status/1570072484627582978,Slim_Vezzy,Twitter for Android,Memphis Tennessee ,"Power In Your Plans...

VezzyWorld 👽🖖🏿💯 work business budget plan objective goals stocks crypto mindset investing strategy justdoit rich motivation money silver eth etf bonds stockmarket crash  success rewards practice progress",1,0,0,1,0.9169,"Sentiment(polarity=0.225, subjectivity=0.2833333333333333)",power plan ... vezzyworld 👽🖖🏿💯 work busi budget plan object goal stock crypto mindset invest strategi justdoit rich motiv money silver eth etf bond stockmarket crash success reward practic progress,positive
8,2022-09-13 18:13:59+00:00,https://twitter.com/Autonomous0x/status/1569751257736265731,Autonomous0x,Twitter for Mac,The Arena,"ETH LOOKING GOOD 

1) HOLDING MAJOR VOLUME SHELF AND SUPPOZONE - DESPITE THE HOTTER INFLATION REPO2) MARKET IS WAITING FOR THE MERGE TO ESTABLISH NEXT MOVE - CAN SHRUG OFF CPI

3) SUCCESSFUL MERGE = POP AT APEX OF THE TRIANGLE

MERGE IS INHERENTLY DEFLATIONARY = BULLISH ",1,0,0,0,0.9118,"Sentiment(polarity=0.378125, subjectivity=0.5125)",eth look good 1 hold major volum shelf suppozon despit hotter inflat repo2 market wait merg establish next move shrug cpi 3 success merg pop apex triangl merg inher deflationari bullish,positive
9,2022-09-11 15:41:00+00:00,https://twitter.com/WonderTwinzTeez/status/1568987986112532480,WonderTwinzTeez,Twitter for iPhone,"Midwest, USA"," Mint or buy two of a great project with a proven sustainable FP, HODL one, list one for profit. Spread the remaining ETH converted to other Blockchains &amp; make sure whether a bullish or bearish market, we’ve got a foot on the right pedals. Invest &amp; Take profits where applicable",0,0,0,0,0.9042,"Sentiment(polarity=0.36517857142857146, subjectivity=0.6374007936507936)",mint buy two great project proven sustain fp hodl one list one profit spread remain eth convert blockchain amp make sure whether bullish bearish market ’ got foot right pedal invest amp take profit applic,positive
10,2022-09-10 19:02:54+00:00,https://twitter.com/beckynerve/status/1568676406401409026,beckynerve,Twitter for Android,," Yes I 'm always bullish on ETH and $ZGD  which is a crypto currency backed by real gold, real people and real mining procedure with value.

I will need to get more of  on Bitmart so as to hold for the bullish reward which is at hand.",0,0,0,0,0.9022,"Sentiment(polarity=0.275, subjectivity=0.35000000000000003)",yes 'm alway bullish eth zgd crypto currenc back real gold real peopl real mine procedur valu need get bitmart hold bullish reward hand,positive
11,2022-09-10 23:52:47+00:00,https://twitter.com/CryptoKevinnnn/status/1568749359302414337,CryptoKevinnnn,Twitter Web App,USA,$MUSHI chart looks bullish af! Only sitting around 55K MC so super early on this one. Dev has been doing buybacks and burns and adding to LP also. Community is strong too! Dont sleep on it and get left behind! ETHMERGE ETH 100xGem ,13,3,0,9,0.8798,"Sentiment(polarity=0.07916666666666666, subjectivity=0.5666666666666665)",mushi chart look bullish af sit around 55k mc super earli one dev buyback burn ad lp also communiti strong dont sleep get left behind ethmerg eth 100xgem,positive
12,2022-09-12 12:13:33+00:00,https://twitter.com/KrispNaztyFarms/status/1569298164322115584,KrispNaztyFarms,Twitter for Android,"Fort Smith, AR",  So bullish on  bringing real world revenue and pumping it back into the ecosystem! $wpt eth WarPigsToken staking and farming rewards are just earning passive income. Sit back and enjoy the ride!! So much already and more to come.  Hard working dev has a vision!,3,1,0,0,0.8626,"Sentiment(polarity=0.1657738095238095, subjectivity=0.29166666666666663)",bullish bring real world revenu pump back ecosystem wpt eth warpigstoken stake farm reward earn passiv incom sit back enjoy ride much alreadi come hard work dev vision,positive
13,2022-09-07 17:31:29+00:00,https://twitter.com/WaKeAiR_S_S/status/1567566238133387264,WaKeAiR_S_S,Twitter for Android,, So bullish on  bringing real world revenue and pumping it back into the ecosystem! $wpt eth WarPigsToken staking and farming rewards are just earning passive income. Sit back and enjoy the ride!! So much already and more to come.  Hard working dev has a vision!,2,0,0,0,0.8626,"Sentiment(polarity=0.1657738095238095, subjectivity=0.29166666666666663)",bullish bring real world revenu pump back ecosystem wpt eth warpigstoken stake farm reward earn passiv incom sit back enjoy ride much alreadi come hard work dev vision,positive
14,2022-09-10 12:53:13+00:00,https://twitter.com/KrispNaztyFarms/status/1568583372422713344,KrispNaztyFarms,Twitter for Android,"Fort Smith, AR", So bullish on  bringing real world revenue and pumping it back into the ecosystem! $wpt eth WarPigsToken staking and farming rewards are just earning passive income. Sit back and enjoy the ride!! So much already and more to come.  Hard working dev has a vision!,0,0,0,0,0.8626,"Sentiment(polarity=0.1657738095238095, subjectivity=0.29166666666666663)",bullish bring real world revenu pump back ecosystem wpt eth warpigstoken stake farm reward earn passiv incom sit back enjoy ride much alreadi come hard work dev vision,positive
15,2022-09-07 17:32:01+00:00,https://twitter.com/WaKeAiR_S_S/status/1567566370262360065,WaKeAiR_S_S,Twitter for Android,, So bullish on  bringing real world revenue and pumping it back into the ecosystem! $wpt eth WarPigsToken staking and farming rewards are just earning passive income. Sit back and enjoy the ride!! So much already and more to come.  Hard working dev has a vision!,1,0,0,0,0.8626,"Sentiment(polarity=0.1657738095238095, subjectivity=0.29166666666666663)",bullish bring real world revenu pump back ecosystem wpt eth warpigstoken stake farm reward earn passiv incom sit back enjoy ride much alreadi come hard work dev vision,positive
