,Unnamed: 0,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count,compoundVader,compoundTextBlob,compoundRoBERTa
641,641,2022-09-09 08:32:18+00:00,https://twitter.com/dubaibornapes/status/1568155323134869507,dubaibornapes,Twitter Web App,Dubai,"happy friday fam   look for the change in the picture   friday is always the best, enjoy your day!   stay active, stay bullish. we are on the way  glad to have you   nftcommunity nft nfts eth ethereum web3 nftart bayc dubaibornapes dubai ",19,6,1,6,0.9693,"Sentiment(polarity=0.5333333333333333, subjectivity=0.6799999999999999)",0.9895182
443,443,2022-09-11 13:16:07+00:00,https://twitter.com/percivalharmony/status/1568951524956712978,percivalharmony,Twitter for Android,"Volantis, Kargion","     launching late september. this could explode. eth oil oneverse also  mint on polygon on 24 of september. this is going to be a great month, ! $one harmonyone",5,0,0,1,0.9614,"Sentiment(polarity=0.35, subjectivity=0.675)",0.98442286
269,269,2022-09-13 02:09:59+00:00,https://twitter.com/MFDeFi/status/1569508661067669505,MFDeFi,Twitter for iPhone,Metaverse,"i love the positive energy! the nfl season just started, the charts are green, people in defi and nfts are excited for the ethmerge and are bullish on eth   speaking of bullish im also super bullish on  and how you can mint 1 of 5000 businesses wrapped as  nfts ",3,1,1,1,0.9476,"Sentiment(polarity=0.25848484848484843, subjectivity=0.5724242424242424)",0.99019164
659,659,2022-09-09 01:54:58+00:00,https://twitter.com/tsbmfg/status/1568055332450062336,tsbmfg,Twitter for Android,United Kingdom,"1/3.. i bought a bag of  on eth. inspired by the great hex coin and our beloved doge! just launched in less than 5 hours. mc is currently at 140k   maythous already called it, the community is hyped and bullish about it, and the dev is giga rich. hexdoge ",13,6,1,3,0.9432,"Sentiment(polarity=0.37666666666666665, subjectivity=0.5933333333333334)",0.9433024
303,303,2022-09-12 19:26:51+00:00,https://twitter.com/Disco_Vet/status/1569407208709914625,Disco_Vet,Twitter for iPhone,Where you are not,"absolute mega lolz at using  to buy eth. buying was very simple. fees were high but expected,  the fun came when i tried to love to a wallet. it seems thats not a thing in the uk. no idea why.   like, are you just a shit coinbase?   remember when this was bullish?? ha ha",0,0,0,2,0.9422,"Sentiment(polarity=0.12285714285714287, subjectivity=0.5577551020408164)",-0.1987602
450,450,2022-09-11 11:05:38+00:00,https://twitter.com/steko170981/status/1568918686043357184,steko170981,Twitter for Android,,bullish perspective for eth dear crypto nation   great chart by  ,9,1,0,1,0.9416,"Sentiment(polarity=0.8, subjectivity=0.75)",0.64634234
379,379,2022-09-12 03:33:40+00:00,https://twitter.com/vuo369/status/1569167332064337921,vuo369,Twitter Web App,,"do you think ethmerge will trigger the start of a new bull run in the next few weeks? but not only in eth but in the entire crypto market, i'm really bullish, but because everything is in the macro i would wait for 21 and i would like to see strength in the stock market,so.. xd",0,0,0,1,0.9294,"Sentiment(polarity=0.022727272727272724, subjectivity=0.39659090909090916)",0.73277867
70,70,2022-09-14 15:30:25+00:00,https://twitter.com/Slim_Vezzy/status/1570072484627582978,Slim_Vezzy,Twitter for Android,Memphis Tennessee ,power in your plans...  vezzyworld  work business budget plan objective goals stocks crypto mindset investing strategy justdoit rich motivation money silver eth etf bonds stockmarket crash  success rewards practice progress,1,0,0,1,0.9169,"Sentiment(polarity=0.225, subjectivity=0.2833333333333333)",0.49982587
174,174,2022-09-13 18:13:59+00:00,https://twitter.com/Autonomous0x/status/1569751257736265731,Autonomous0x,Twitter for Mac,The Arena,eth looking good   1) holding major volume shelf and suppozone - despite the hotter inflation repo2) market is waiting for the merge to establish next move - can shrug off cpi  3) successful merge = pop at apex of the triangle  merge is inherently deflationary = bullish ,1,0,0,0,0.9118,"Sentiment(polarity=0.378125, subjectivity=0.5125)",0.7614684
430,430,2022-09-11 15:41:00+00:00,https://twitter.com/WonderTwinzTeez/status/1568987986112532480,WonderTwinzTeez,Twitter for iPhone,"Midwest, USA"," mint or buy two of a great project with a proven sustainable fp, hodl one, list one for profit. spread the remaining eth converted to other blockchains &amp; make sure whether a bullish or bearish market, weve got a foot on the right pedals. invest &amp; take profits where applicable",0,0,0,0,0.9042,"Sentiment(polarity=0.36517857142857146, subjectivity=0.6374007936507936)",0.8195179
